sent_time,iha_enlem_meters,iha_boylam_meters,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:11:55.366000,1290.339287261396,1704.909720757728,48.249,-1.204731,203.0,1.8711828
14:11:56.488000,1275.0722238337032,1697.5977300977115,48.408,-2.57069421,202.0,-2.08756781
14:11:56.611000,1259.3715001908065,1689.977603156842,49.07,0.5469248,207.0,44.7818
14:11:57.679000,1242.8368145983147,1672.8219075285003,49.075,-1.0033288,240.0,46.826767
14:11:58.644000,1236.899005515783,1655.0249553134925,48.595,-1.26542854,265.0,43.0116119
14:11:59.707000,1239.0117091226027,1635.3292173655516,48.239,-0.136351064,293.0,28.995615
14:12:00.765000,1245.3831784189238,1620.6302839686302,48.829,-0.5801538,309.0,21.43917
14:12:01.839000,1255.9800549281767,1605.1485178573437,49.423,-1.75599062,316.0,5.04056644
14:12:02.795000,1260.950468149178,1598.4777837761003,49.554,-1.86826468,317.0,2.54306054
14:12:03.874000,1270.958011547148,1584.819851325029,50.531,-2.546445,316.0,-5.83850574
14:12:04.945000,1277.6297071460306,1574.826242212862,51.531,-2.88395119,317.0,-5.88585
14:12:05.801000,1283.5563967361365,1565.1241133663545,52.235,-3.99718642,311.0,-6.535021
14:12:06.873000,1291.6180289179133,1549.5590671716916,52.436,-6.573109,313.0,-8.329324
14:12:07.946000,1298.4009194424652,1535.8928067070958,52.079,-5.79508829,304.0,8.509871
14:12:09.014000,1305.4284388074514,1523.8255237002943,50.776,-4.994045,323.0,39.59668
14:12:09.092000,1317.6598807379107,1517.1547896149673,50.026,-2.65047359,347.0,33.7206039
14:12:10.675000,1339.8988660670475,1519.0285913242963,50.499,-0.03560327,20.0,17.1556263
14:12:11.733000,1350.5735790246938,1524.4584522778136,50.743,-3.09843063,30.0,10.9181671
14:12:12.808000,1358.8020035963893,1529.8550011998557,50.926,-2.89410973,32.0,4.451798
14:12:13.865000,1366.2631831744575,1535.8928067070958,50.723,-3.97290754,34.0,-0.09168568
14:12:14.922000,1375.4812425925345,1542.5635407915008,50.822,-3.96698332,33.0,-3.92463779
14:12:15.883000,1385.4887859905045,1549.0094186705703,51.479,-4.123837,31.0,-5.77485132
14:12:16.953000,1394.3843801225835,1554.0062232271923,51.689,-5.59763527,31.0,-3.79503918
14:12:17.921000,1402.1680249880644,1557.8121226982994,51.927,-6.060054,25.0,-5.77533627
14:12:18.990000,1409.9516698535454,1560.9934215988387,51.716,-5.53930473,22.0,-0.0408288427
14:12:19.066000,1419.7145844124957,1566.0735062318113,50.982,-6.49750948,30.0,28.12166
14:12:20.029000,1425.2298527743706,1573.1606406939175,50.243,-5.226337,48.0,24.2033081
14:12:21.102000,1427.7428581155814,1582.5962732972855,50.039,-4.69962168,63.0,25.1392021
14:12:22.175000,1427.3536758729085,1598.7942480646823,49.727,-4.518293,78.0,16.35643
14:12:23.243000,1423.951111117146,1611.1863233611423,49.792,-5.41379642,86.0,5.835643
14:12:24.322000,1419.7145844124957,1624.2113272329195,49.615,-4.642908,89.0,2.822804
14:12:24.349000,1415.511416185122,1636.2869382384335,49.424,-5.068144,93.0,-1.22938418
14:12:25.406000,1410.3853300666274,1650.9025915573247,50.189,-3.912848,97.0,1.17244887
14:12:26.448000,1406.6158220537504,1661.437521156798,50.596,-4.748795,96.0,-0.454653829
14:12:27.504000,1401.901157164194,1675.994878419309,51.473,-5.85084057,95.0,-5.568144
14:12:28.562000,1398.5097119015643,1688.3869537076587,51.798,-6.244557,91.0,-3.92311883
14:12:29.618000,1394.3843801225835,1701.7284218602595,51.021,-3.430105,96.0,40.2808876
14:12:30.675000,1384.0877299151846,1713.48756856995,50.187,-3.25506735,125.0,41.71627
14:12:31.611000,1369.2320877157233,1720.1583026450564,49.798,-1.56183136,142.0,38.7604752
14:12:33.652000,1331.0032719349686,1717.2351719828457,49.848,-2.78772879,189.0,19.170845
14:12:34.722000,1315.4359822054214,1711.4055666740824,50.714,-4.48623037,198.0,8.278435
14:12:36.368000,1278.7416564119214,1694.4247592074594,49.888,-6.30940533,198.0,-3.165312
14:12:37.426000,1262.340404732072,1687.2543446764466,48.809,-4.35971737,196.0,32.7064171
14:12:38.542000,1247.0733413043795,1676.6278069960856,47.39,-5.108959,220.0,43.4342728
14:12:39.543000,1236.487584287552,1659.4804393733039,46.899,-1.13469613,246.0,45.0667152
14:12:39.699000,1233.1517364884644,1640.4176300030192,47.006,-2.66278458,274.0,42.41542
14:12:40.778000,1239.4342498439669,1617.8570574411992,48.682,0.5816994,297.0,26.48734
14:12:41.849000,1247.0733413043795,1603.5661964145024,49.569,-1.39156485,316.0,15.9061413
14:12:42.814000,1255.3907218176012,1592.1235139831115,50.727,-1.18296146,316.0,6.42261362
14:12:43.896000,1267.010591651219,1577.5161886654794,51.843,-3.822715,317.0,-1.51074314
14:12:44.963000,1275.0722238337032,1567.031227105205,52.621,-5.106661,315.0,-4.86628866
14:12:46.804000,1290.339287261396,1541.9306122145956,52.878,-6.23215055,318.0,-7.24250126
14:12:47.872000,1297.1221777866554,1528.1893996808803,52.118,-6.47080231,315.0,16.897522
14:12:48.925000,1301.3698239851456,1522.3597943629813,51.402,-6.66498661,333.0,37.5203438
14:12:50.001000,1312.8229014288447,1515.2476758754103,49.851,-3.77328682,357.0,31.5118332
14:12:50.078000,1325.1210603152717,1515.2476758754103,49.615,-2.84280443,17.0,22.2641354
14:12:51.036000,1335.7290563176575,1519.6948319325697,50.108,-2.72805142,25.0,13.7490349
14:12:52.064000,1344.6357699421621,1526.0491017284874,50.315,-4.45035744,32.0,3.67910028
14:12:53.197000,1352.6974021232313,1533.1862042382752,50.137,-4.656268,32.0,0.4017969
14:12:53.208000,1361.6041157484433,1539.3905698974102,49.91,-5.28445864,33.0,-3.59363365
14:12:54.289000,1367.9644655523387,1544.0126141132328,49.883,-5.164796,30.0,-4.98812962
14:12:55.359000,1375.1698967982547,1548.176617910409,49.8,-4.8963356,31.0,-4.36516237
14:12:59.583000,1414.399466919231,1564.4911847884973,49.925,-4.00619125,20.0,27.989563
14:13:02.927000,1429.9667566494852,1594.98834859529,49.023,-3.9849577,76.0,21.7349167
14:13:04.576000,1423.951111117146,1618.964682450802,50.119,-4.03306532,89.0,6.477871
14:13:04.736000,1423.951111117146,1618.964682450802,50.119,-4.03306532,89.0,6.477871
14:13:06.681000,1414.399466919231,1645.1812503438766,48.523,-4.64044857,92.0,-0.459277451
14:13:07.289000,1409.9516698535454,1656.4407166032706,48.576,-3.39719367,94.0,-1.56166887
14:13:07.388000,1404.3919235205537,1671.4311302616622,48.728,-3.61121225,91.0,-2.00953126
14:13:08.449000,1400.1998747863124,1683.6233333684531,48.583,-4.229656,91.0,-3.61330581
14:13:09.527000,1396.6082786557802,1696.415153020556,48.725,-3.76062,90.0,17.4016266
14:13:10.566000,1390.4480797197875,1708.9071643983582,47.961,-3.800098,104.0,42.5681953
14:13:11.642000,1372.6346524714857,1722.231976533369,47.213,-0.752229631,133.0,43.9264374
14:13:12.597000,1353.9650242880305,1725.5631795667591,47.102,-1.195138,167.0,38.4877625
14:13:13.663000,1334.3391197347632,1723.0647772918576,47.595,-0.0170935616,189.0,24.3894215
14:13:14.640000,1316.5479314713125,1716.402371224317,49.188,-0.8852242,195.0,11.67381
14:13:15.614000,1294.3089461428829,1705.575961364509,50.879,-3.23497844,204.0,1.34709287
14:13:16.691000,1279.853605679227,1698.0807545378818,51.251,-3.94382381,199.0,-3.85845113
14:13:17.657000,1265.3982652155712,1691.4183484695013,51.278,-4.865576,201.0,21.4585838
14:13:19.620000,1236.487584287552,1661.437521156798,48.853,-3.408105,254.0,43.80529
14:13:20.693000,1234.2636857543555,1639.7847014260597,48.027,-2.05296159,289.0,37.18872
14:13:21.728000,1240.7129914997768,1622.9454700793656,48.792,-1.470915,311.0,24.4905739
14:13:21.737000,1249.1971644029175,1609.8038741005082,50.254,-1.60789979,325.0,12.7707081
14:13:22.815000,1257.258796584694,1600.6430657500928,51.406,-4.07278967,326.0,2.69678974
14:13:23.889000,1262.7740649458617,1594.3470920106934,51.996,-5.015906,328.0,-1.86349547
14:13:24.864000,1272.9484007344581,1582.5962732972855,52.907,-4.122299,327.0,-4.16257238
14:13:25.936000,1280.9655549451181,1570.8454545833536,52.919,-6.367017,324.0,-9.04835
14:13:27.015000,1288.7491998098915,1558.1702270245878,52.229,-6.49857759,319.0,-8.939107
14:13:27.085000,1295.8545556225636,1544.0126141132328,51.472,-6.42594862,313.0,-10.5528936
14:13:28.053000,1302.6374461485302,1529.5385369111088,50.81,-1.6771034,310.0,41.8778267
14:13:29.129000,1310.699078330307,1521.285481382769,49.906,-4.68009,335.0,35.7506371
14:13:30.205000,1323.853438151887,1517.1547896149673,49.919,-3.47985148,359.0,31.56928
14:13:31.281000,1336.5630182672526,1519.3783676432695,50.701,-3.69445014,17.0,20.119318
14:13:32.256000,1348.0272152040843,1524.8581966423383,51.761,-4.598401,25.0,9.924001
14:13:33.319000,1355.4661557965944,1529.5385369111088,52.883,-4.84393358,28.0,4.360829
14:13:34.392000,1365.4736991945647,1536.2175990037745,53.814,-6.86312532,30.0,-1.40290427
14:13:35.545000,1374.7473560768908,1542.347012593902,54.338,-7.2749114,32.0,-4.760896
14:13:36.445000,1384.3768367246134,1548.176617910409,53.969,-8.958753,23.0,-3.81100917
14:13:36.594000,1392.1604815900944,1552.3406217085155,53.011,-9.573925,21.0,-4.555957
14:13:37.667000,1402.7462386062145,1557.4956584090887,52.3,-7.890588,18.0,-4.17434454
14:13:38.645000,1414.6218567719848,1562.3342308218523,51.689,-8.356889,13.0,14.1130753
14:13:39.719000,1423.2950610498956,1566.7147628165465,51.445,-8.33919,24.0,36.8089371
14:13:40.797000,1432.1906551819748,1578.4655815308463,50.791,-4.43885374,46.0,33.9501152
14:13:41.875000,1434.1365663981678,1586.4854528432963,50.475,-6.405196,65.0,31.86855
14:13:42.837000,1433.3026044478654,1604.8070695460099,49.982,-4.28987169,83.0,19.3608055
14:13:43.891000,1428.8548073828867,1619.1312426027448,49.735,-5.55965376,91.0,10.009634
14:13:44.967000,1421.0711625174063,1638.119099907953,49.561,-5.300582,97.0,1.37191761
14:13:45.948000,1415.0443974933487,1650.9025915573247,49.269,-5.49266148,96.0,-1.95758343
14:13:47.024000,1409.9516698535454,1662.2703219151704,48.725,-5.04850626,94.0,-4.49979925
14:13:47.087000,1405.503872787152,1672.8219075285003,48.066,-5.09214926,94.0,-2.47401571
14:13:48.145000,1399.9441264555753,1688.7034179960153,47.831,-4.56376171,94.0,-5.99223328
14:13:49.113000,1395.4963293891822,1701.4119575719365,47.538,-1.91470325,90.0,37.923748
14:13:50.197000,1387.4791751778146,1714.1204971460027,45.935,-3.25363159,117.0,43.9945221
14:13:51.260000,1371.778451535625,1723.6477378223724,44.465,-1.02993882,145.0,43.1640739
14:13:52.404000,1346.3259328269105,1725.5631795667591,43.835,-0.1521882,180.0,34.4983139
14:13:53.587000,1311.5441597723275,1711.8969191210738,46.897,-0.474168181,210.0,7.580806
14:13:55.748000,1277.6297071460306,1694.7495515037372,48.853,-3.04454541,208.0,-5.07852936
14:13:56.824000,1262.7740649458617,1688.0871454346448,49.011,-2.66783357,205.0,32.8168755
14:13:57.785000,1244.5269774837705,1673.454836105293,48.055,-2.39208341,227.0,45.082283
14:13:58.854000,1237.5995335541504,1657.2735173627357,47.901,-2.032072,265.0,44.0581474
14:13:59.928000,1237.5995335541504,1640.4176300030192,48.226,-1.000176,288.0,35.3434372
14:14:00.901000,1244.9495182051344,1621.9877492063827,49.196,-0.938746333,312.0,21.0932178
14:14:01.966000,1252.0548740178065,1611.1863233611423,50.053,-1.09605885,323.0,10.6537733
14:14:03.028000,1259.8385188825796,1602.3086672681582,50.318,-3.79050231,328.0,-0.05313903
14:14:03.092000,1264.2863159482656,1596.479061954043,50.52,-3.650649,326.0,-3.44806314
14:14:04.064000,1275.9173052757237,1582.5962732972855,51.035,-5.37451124,322.0,-9.506462
14:14:05.141000,1284.824018899521,1570.8454545833536,50.428,-5.07299232,315.0,-10.6034756
14:14:06.214000,1292.4631103599338,1557.337426265013,50.026,-4.240511,313.0,-10.6837215
14:14:07.272000,1298.7567432078617,1542.5635407915008,49.765,-3.9469,308.0,-9.60481
14:14:08.311000,1305.1838099684321,1529.0222004406355,49.655,2.79015565,306.0,41.58906
14:14:08.406000,1310.2765376089428,1523.5090594110038,49.29,-3.19476175,328.0,37.76376
14:14:09.382000,1323.853438151887,1519.0285913242963,49.398,-1.58231616,351.0,31.0865669
14:14:10.444000,1336.1515970390215,1520.3277605095784,50.23,-2.14035034,11.0,22.7838535
14:14:11.496000,1347.1821337620638,1525.416173151505,52.006,-2.52108526,21.0,10.4362106
14:14:12.569000,1357.6900543304982,1531.5206027193403,53.085,-6.46022272,24.0,4.299314
14:14:14.124000,1380.2626244387657,1545.428375404753,53.493,-6.754657,26.0,-3.61817312
14:14:15.082000,1389.1693380632703,1550.19199574909,54.354,-5.66267252,23.0,-2.0032258
14:14:16.151000,1398.0760516870675,1554.6391518045698,54.448,-6.33061552,21.0,-4.861993
14:14:17.223000,1406.137683868844,1558.453379282545,54.284,-6.847775,16.0,-3.745718
14:14:18.294000,1414.399466919231,1561.5014300623036,54.187,-6.39571047,16.0,13.8772783
14:14:19.263000,1424.4070103172012,1568.9966368969922,52.774,-8.100856,32.0,30.5371265
14:14:20.330000,1429.9667566494852,1579.8230467685112,51.676,-6.21339226,51.0,30.158947
14:14:21.459000,1431.5902025782661,1593.1478589172125,51.291,-4.76220751,69.0,23.8412724
14:14:22.478000,1428.621298036293,1611.469475618985,50.653,-5.488225,86.0,14.2269039
14:14:22.538000,1424.4070103172012,1623.1286862461259,50.529,-5.33728933,90.0,6.961262
14:14:23.606000,1419.7145844124957,1635.0127530770594,50.332,-6.289819,93.0,3.89742923
14:14:24.680000,1414.6218567719848,1647.2799082562103,50.285,-6.03055763,93.0,-1.1372577
14:14:25.742000,1407.7277713196413,1664.5605240018563,51.62,-5.566644,96.0,-2.45337367
14:14:26.811000,1402.7462386062145,1677.2607355723294,52.476,-6.59864855,91.0,-5.87995052
14:14:27.892000,1398.0760516870675,1690.2940674451943,52.848,-7.608559,89.0,-4.360575
14:14:28.965000,1394.3843801225835,1701.7284218602595,52.698,-5.97468233,88.0,38.181385
14:14:31.597000,1352.6974021232313,1725.8713158470848,48.84,-3.275373,164.0,40.2922974
14:14:32.679000,1332.7601517763917,1723.0647772918576,47.783,-4.326548,188.0,26.0195484
14:14:34.450000,1289.8611490771973,1704.909720757728,47.267,-3.38570666,206.0,1.57871592
14:14:35.522000,1272.9484007344581,1696.6483372332373,47.4,-2.836751,208.0,-2.71216321
14:14:36.617000,1253.1668232844045,1684.7559424002284,47.239,-1.390593,212.0,44.0407829
14:14:36.660000,1243.1592798864344,1672.2639310204972,46.588,-2.05433726,245.0,44.75679
14:14:37.728000,1239.4342498439669,1656.4407166032706,46.691,0.0562228635,271.0,40.8136024
14:14:38.501000,1240.7129914997768,1641.6834871563997,46.57,-0.9236205,291.0,32.85473
14:14:41.050000,1253.8562318289316,1615.633479414552,46.355,-1.41362607,318.0,6.29675
14:14:41.130000,1263.1743666823745,1602.6084755413756,46.823,-1.527892,320.0,-3.53582025
14:14:42.103000,1271.680778570366,1590.857656829243,48.105,-2.586743,320.0,-3.36831045
14:14:43.171000,1280.1649514735068,1578.4655815308463,48.792,-3.33078218,315.0,-7.709993
14:14:45.228000,1293.730732524733,1551.5078209489047,50.447,-3.89840651,306.0,-6.82232475
14:14:46.301000,1299.2460008859005,1537.1669918694358,51.453,-3.69273663,307.0,0.6119636
14:14:47.275000,1306.5403880733425,1525.0913808548007,51.09,-2.69523525,317.0,39.43029
14:14:48.333000,1312.1001344056265,1521.285481382769,50.584,-3.82886481,342.0,33.3586731
14:14:49.401000,1324.698519594615,1518.4206467700653,49.934,-2.18382716,0.0,26.51305
