sent_time,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:13:20.693000,41.5111,36.11969,48.027,-2.05296159,289.0,37.18872
14:13:21.728000,41.511158,36.1194878,48.792,-1.470915,311.0,24.4905739
14:13:21.737000,41.5112343,36.11933,50.254,-1.60789979,325.0,12.7707081
14:13:22.815000,41.5113068,36.11922,51.406,-4.07278967,326.0,2.69678974
14:13:23.889000,41.5113564,36.1191444,51.996,-5.015906,328.0,-1.86349547
14:13:24.864000,41.5114479,36.1190033,52.907,-4.122299,327.0,-4.16257238
14:13:25.936000,41.51152,36.1188622,52.919,-6.367017,324.0,-9.04835
14:13:27.015000,41.51159,36.11871,52.229,-6.49857759,319.0,-8.939107
14:13:27.085000,41.5116539,36.11854,51.472,-6.42594862,313.0,-10.5528936
14:13:28.053000,41.5117149,36.1183662,50.81,-1.6771034,310.0,41.8778267
14:13:29.129000,41.5117874,36.1182671,49.906,-4.68009,335.0,35.7506371
14:13:30.205000,41.5119057,36.1182175,49.919,-3.47985148,359.0,31.56928
14:13:31.281000,41.51202,36.1182442,50.701,-3.69445014,17.0,20.119318
14:13:32.256000,41.5121231,36.11831,51.761,-4.598401,25.0,9.924001
14:13:33.319000,41.51219,36.1183662,52.883,-4.84393358,28.0,4.360829
14:13:34.392000,41.51228,36.1184464,53.814,-6.86312532,30.0,-1.40290427
14:13:35.545000,41.5123634,36.11852,54.338,-7.2749114,32.0,-4.760896
14:13:36.445000,41.51245,36.11859,53.969,-8.958753,23.0,-3.81100917
14:13:36.594000,41.51252,36.11864,53.011,-9.573925,21.0,-4.555957
14:13:37.667000,41.5126152,36.1187019,52.3,-7.890588,18.0,-4.17434454
14:13:38.645000,41.512722,36.11876,51.689,-8.356889,13.0,14.1130753
14:13:39.719000,41.5128,36.1188126,51.445,-8.33919,24.0,36.8089371
14:13:40.797000,41.51288,36.1189537,50.791,-4.43885374,46.0,33.9501152
14:13:41.875000,41.5128975,36.11905,50.475,-6.405196,65.0,31.86855
14:13:42.837000,41.51289,36.11927,49.982,-4.28987169,83.0,19.3608055
14:13:43.891000,41.51285,36.119442,49.735,-5.55965376,91.0,10.009634
14:13:44.967000,41.51278,36.11967,49.561,-5.300582,97.0,1.37191761
14:13:45.948000,41.5127258,36.1198235,49.269,-5.49266148,96.0,-1.95758343
14:13:47.024000,41.51268,36.11996,48.725,-5.04850626,94.0,-4.49979925
14:13:47.087000,41.51264,36.1200867,48.066,-5.09214926,94.0,-2.47401571
14:13:48.145000,41.51259,36.1202774,47.831,-4.56376171,94.0,-5.99223328
14:13:49.113000,41.51255,36.12043,47.538,-1.91470325,90.0,37.923748
14:13:50.197000,41.5124779,36.1205826,45.935,-3.25363159,117.0,43.9945221
14:13:51.260000,41.5123367,36.120697,44.465,-1.02993882,145.0,43.1640739
14:13:52.404000,41.5121078,36.12072,43.835,-0.1521882,180.0,34.4983139
14:13:53.587000,41.511795,36.1205559,46.897,-0.474168181,210.0,7.580806
14:13:55.748000,41.51149,36.12035,48.853,-3.04454541,208.0,-5.07852936
14:13:56.824000,41.5113564,36.12027,49.011,-2.66783357,205.0,32.8168755
14:13:57.785000,41.5111923,36.1200943,48.055,-2.39208341,227.0,45.082283
14:13:58.854000,41.51113,36.1199,47.901,-2.032072,265.0,44.0581474
14:13:59.928000,41.51113,36.1196976,48.226,-1.000176,288.0,35.3434372
14:14:00.901000,41.5111961,36.1194763,49.196,-0.938746333,312.0,21.0932178
14:14:01.966000,41.51126,36.1193466,50.053,-1.09605885,323.0,10.6537733
14:14:03.028000,41.51133,36.11924,50.318,-3.79050231,328.0,-0.05313903
14:14:03.092000,41.51137,36.11917,50.52,-3.650649,326.0,-3.44806314
14:14:04.064000,41.5114746,36.1190033,51.035,-5.37451124,322.0,-9.506462
14:14:05.141000,41.5115547,36.1188622,50.428,-5.07299232,315.0,-10.6034756
14:14:06.214000,41.5116234,36.1187,50.026,-4.240511,313.0,-10.6837215
14:14:07.272000,41.51168,36.1185226,49.765,-3.9469,308.0,-9.60481
14:14:08.311000,41.5117378,36.11836,49.655,2.79015565,306.0,41.58906
14:14:08.406000,41.5117836,36.1182938,49.29,-3.19476175,328.0,37.76376
14:14:09.382000,41.5119057,36.11824,49.398,-1.58231616,351.0,31.0865669
14:14:10.444000,41.5120163,36.1182556,50.23,-2.14035034,11.0,22.7838535
14:14:11.496000,41.5121155,36.1183167,52.006,-2.52108526,21.0,10.4362106
14:14:12.569000,41.51221,36.11839,53.085,-6.46022272,24.0,4.299314
14:14:14.124000,41.512413,36.118557,53.493,-6.754657,26.0,-3.61817312
14:14:15.082000,41.5124931,36.1186142,54.354,-5.66267252,23.0,-2.0032258
14:14:16.151000,41.5125732,36.1186676,54.448,-6.33061552,21.0,-4.861993
